id,title,file,created_at,uploaded_by_user_id,urls
170,PDF,documents/oa9783839409268.pdf,"2016-08-08 14:32:48.554403+02",14,
171,PDF,documents/fpsyg-03-00378.pdf,"2016-08-08 15:14:56.900774+02",14,
172,PDF,documents/fpsyg-03-00578.pdf,"2016-08-08 15:20:59.837031+02",14,
173,PDF,documents/fpsyg-05-00923.pdf,"2016-08-09 10:10:22.177204+02",14,
174,PDF,documents/fpsyg-05-01388.pdf,"2016-08-09 10:17:15.272077+02",14,
175,PDF,documents/bwg-A5-heft-lernenmit_Bredekamp_FINAL.pdf,"2016-08-09 10:45:29.52096+02",13,
176,"Lernen mit HB, Cover",documents/bwg-A5-heft-lernenmit_Bredekamp_FINAL_oVoShhA.pdf,"2016-08-09 10:47:48.386396+02",13,
177,PDF,documents/bwg-A5-heft-lernenmit_Bredekamp_FINAL_o8363wD.pdf,"2016-08-09 10:48:14.180007+02",13,
178,PDF,documents/Tagungsband_OA.pdf,"2016-08-09 11:45:18.571252+02",13,
179,"PDF Tagungsband",documents/Tagungsband_OA_yYWuZYB.pdf,"2016-08-09 11:45:55.870939+02",13,
180,PDF,documents/bwg-A5-heft-lernenmit_Bredekamp_FINAL_7N8KiK6.pdf,"2016-08-09 13:16:34.726634+02",13,
181,"Lernen mit HB",documents/bwg-A5-heft-lernenmit_Bredekamp_FINAL_EQN2QlM.pdf,"2016-08-10 12:00:42.904425+02",13,
182,PDF,documents/bwg-A5-heft-lernenmit_Bredekamp_FINAL_ra7rFm9.pdf,"2016-08-10 12:02:08.521091+02",13,
183,PDF,documents/HaareHoeren_BWG_3OqhWIB.pdf,"2016-08-10 12:28:24.976914+02",14,
184,"Presseinfo +ultra. gestaltung schafft wissen",documents/20160901_PM_plus_ultra.pdf,"2016-09-02 12:25:39.407675+02",12,
185,"Einladung zur Pressekonferenz +ultra",documents/20160830_PK_Einladung_plus_ultra.pdf,"2016-09-02 12:37:05.273457+02",12,
186,"TAT Sep/Okt",documents/September_Oktober_2016.pdf,"2016-09-02 16:25:09.058319+02",6,
187,"Newsletter #1 Internationale Gesellschaft für Modellforschung",documents/Newsletter_1_oE_1.pdf,"2016-09-08 17:34:51.339539+02",6,
188,"Pressebilder +ultra. getsaltung schafft wissen",documents/ultra_Pressebilder.pdf,"2016-09-13 14:38:28.767471+02",6,
189,"Übersicht Pressebilder",documents/Uebersicht_Pressebilder.pdf,"2016-09-13 15:05:20.307882+02",6,
190,Filter,documents/Filter_Workshop_BWG_HU_Berlin.pdf,"2016-09-16 15:36:40.546162+02",6,
191,"Holger Schulze - The Body of Sound",documents/5176-21232-1-PB.pdf,"2016-09-19 15:07:11.371376+02",15,
192,"Galaktische Archäologie - Eva Grebel",documents/Galaktische_Archaelogie_Grebel_A3.pdf,"2016-09-19 16:46:38.98441+02",6,
193,"Die Zeitlichkeit des Entwerfens_ Claudia Mareis",documents/Visuelle_Zeitgestaltung_Mareis.pdf,"2016-09-19 16:56:21.242235+02",6,
194,"Begrenzte Unendlichkeit_Paflik-Huber",documents/Plakate_ikonischeZeit.pdf,"2016-09-19 16:58:10.868071+02",6,
195,"Über ikonische Zeit",documents/Uber_ikonische_Zeit.pdf,"2016-09-19 17:00:27.858608+02",6,
196,Zeitseeing,documents/Zeitseeing.pdf,"2016-09-19 17:09:44.540147+02",6,
197,"Museale Objekte im Kalten Krieg_Tagungsprogramm",documents/Workshop_ObjekteKaltenKrieg.pdf,"2016-09-20 12:07:31.236137+02",6,
198,"Life Technology Information",documents/Life_Info_Technology.pdf,"2016-09-20 13:16:50.329043+02",6,
199,"Structured Doctoral Program",documents/StructuredDoctoralProgram_ImageKnowledgeGestaltung_mMDBHnR.pdf,"2016-09-22 11:05:37.767568+02",6,
