id,page1_id,page2_id
620,502,62
2047,1418,690
698,233,67
700,233,14
701,239,69
707,243,63
716,382,126
715,280,126
1968,1408,166
5036,131,2605
767,279,38
714,321,79
5039,131,2607
774,312,22
2588,1671,22
634,468,66
702,239,31
3853,1988,22
5040,131,2608
644,523,78
2062,1427,73
5041,131,2609
5042,131,2610
5043,131,2611
1661,1206,226
1077,575,67
643,521,202
3522,268,103
2085,1447,250
672,694,642
642,613,126
733,708,376
764,727,389
749,716,270
619,514,62
708,243,62
3552,617,67
688,255,78
2024,857,690
686,251,62
743,270,697
2075,1444,1207
647,538,126
3660,514,108
3661,514,1399
1078,575,14
2076,1444,250
2084,1447,1207
5044,131,2611
2010,664,690
692,248,39
2051,666,690
621,503,65
785,748,250
2618,1684,67
2582,1669,389
731,706,376
2583,1669,22
729,376,62
728,700,200
627,571,66
689,256,60
2060,1426,250
2700,1708,71
2699,1708,417
5045,131,2612
784,747,245
691,248,65
761,389,73
2542,1658,69
628,524,66
687,254,19
2590,1672,22
756,722,432
762,389,695
2030,887,690
748,715,270
713,576,74
3032,1788,223
771,734,312
2571,1668,653
781,745,245
613,510,71
2687,1702,432
779,743,690
616,528,19
2688,1702,71
5051,131,2606
3633,441,108
3634,441,1405
618,507,60
2088,1449,250
636,485,52
610,505,71
2707,1713,596
611,505,204
3782,1970,742
615,506,49
3690,430,108
2055,1421,166
778,740,166
2619,1685,413
875,800,226
915,229,19
3784,1970,651
3693,570,73
924,843,225
1844,743,71
854,791,422
872,798,226
908,832,244
798,755,249
871,797,226
3523,335,141
834,774,242
1948,1396,432
824,252,79
3891,2009,515
927,225,63
928,225,65
907,831,244
905,829,244
906,830,244
911,834,229
793,223,20
920,841,227
3823,528,1399
837,778,257
3854,1204,1405
791,753,223
812,567,61
946,546,68
1955,1399,108
874,799,226
3604,457,116
817,457,20
848,232,64
943,531,20
897,822,238
832,242,22
1475,441,49
3635,501,65
3869,1994,515
884,809,541
885,810,541
944,623,67
3917,2018,411
849,232,22
889,616,78
3632,1931,802
945,425,20
835,776,242
912,835,229
599,541,653
909,244,63
893,614,23
789,250,22
886,811,541
887,812,541
903,264,79
820,770,252
2011,665,690
819,769,252
790,752,223
818,768,252
2650,190,599
815,767,457
888,813,541
2620,1685,78
921,227,66
922,227,77
2543,1659,239
914,837,229
902,828,264
1666,126,456
633,522,49
2667,1698,245
842,257,70
895,428,21
899,824,238
3881,2001,515
5052,461,22
821,771,252
788,751,250
3580,280,23
898,823,238
923,842,225
838,779,257
925,844,225
839,780,257
2057,1423,166
904,314,78
1787,130,276
3708,520,1844
792,754,223
1969,1409,166
841,782,257
2048,1418,499
2710,1714,255
2668,1698,71
3927,2022,238
869,796,382
3918,2018,20
3662,260,64
829,773,690
878,525,166
3907,2013,467
3908,2013,20
2025,859,690
1996,655,690
2031,1414,690
2044,1417,1147
2043,1417,499
2042,1417,690
892,820,614
2702,1709,71
901,826,264
900,825,264
876,226,76
910,833,229
913,836,229
917,838,227
918,839,227
919,840,227
3928,2022,72
844,784,232
2701,1709,417
814,766,457
2649,190,394
935,846,531
936,847,531
937,848,531
938,849,531
939,850,531
940,851,531
941,852,531
942,853,531
833,775,242
949,863,545
950,864,545
951,865,545
952,866,545
1068,949,274
1052,936,291
959,872,510
1010,915,483
1061,944,296
960,873,510
948,464,74
2670,1699,71
3605,629,108
2586,1671,312
437,78,255
1062,296,76
1019,918,492
1100,971,299
438,78,547
1017,916,492
970,881,519
971,882,519
972,883,519
973,884,519
974,885,519
3734,1945,250
1004,911,287
1088,961,516
3555,718,166
1034,928,495
1106,413,78
1033,927,495
947,862,651
1025,922,354
967,879,341
3475,544,109
1018,917,492
954,868,320
976,451,77
5053,132,2396
3785,1971,742
1001,908,287
1008,913,483
989,902,598
984,899,447
1009,914,483
1020,492,81
975,892,166
1071,281,69
963,578,31
1015,333,72
1016,333,31
1102,973,299
980,895,486
981,896,486
1006,912,288
991,598,20
2728,1723,21
1039,289,76
1044,290,66
2727,1723,381
1932,1395,1307
1026,923,354
1101,972,299
988,901,598
1021,919,547
998,275,21
1023,921,547
1104,299,67
966,878,341
1065,947,398
983,898,447
1917,1386,166
3524,289,1152
1003,910,287
1096,407,20
1105,299,14
955,869,320
957,870,510
1005,287,19
3786,1971,651
1074,952,575
1042,931,290
1103,974,299
999,379,22
1075,953,575
1060,943,296
1059,942,296
2651,635,489
2669,1699,245
1076,954,575
3709,533,1844
1031,926,338
990,903,598
1063,945,398
982,897,447
979,894,486
1072,950,575
1073,951,575
1083,599,81
3694,246,67
1030,925,338
1079,955,599
958,871,510
1080,956,599
1081,957,599
1066,948,398
1037,929,289
1057,291,21
1027,924,354
1053,937,291
1054,938,291
953,867,320
1090,963,523
1091,964,523
1092,965,523
1093,966,523
1094,967,407
1095,968,407
1097,596,21
2545,1659,69
1064,946,398
2622,1686,67
1087,960,516
1089,962,516
683,673,34
1049,935,277
977,377,67
1956,139,141
2621,1686,270
1043,932,290
1116,976,350
1186,1034,301
1185,1033,301
1194,1039,459
1195,1040,459
1204,1046,353
1203,1045,353
1117,977,350
2730,1724,21
1279,1076,228
1284,1081,261
1281,1078,228
1287,1084,261
1129,984,521
1130,985,521
2729,1724,381
1224,392,217
1132,987,521
1131,986,521
1119,979,350
1134,989,409
1133,988,409
1137,990,367
1138,991,367
2714,1716,321
1114,362,18
3446,460,20
1659,1206,345
2715,1716,79
1177,1026,236
3638,704,166
2623,1687,236
1282,1079,228
1118,978,350
1292,1089,233
1183,1031,505
1290,1087,233
1288,1085,262
3788,1972,651
1268,495,1064
1283,1080,261
1286,1083,261
1285,1082,261
1278,238,72
1201,1043,353
1202,1044,353
1205,1047,353
1918,1387,1386
1199,1041,38
1140,992,273
1178,1027,236
1272,1072,256
1273,1073,256
1274,1074,256
1275,1075,256
2671,1369,102
3710,541,1844
1660,1206,223
1935,1307,1147
1934,1307,802
1212,1049,474
1213,1050,474
1214,1051,474
1136,401,49
1069,274,60
1197,385,60
3787,1972,742
1258,266,66
1267,312,61
694,261,49
3525,459,1179
1225,1053,581
1226,1054,581
1227,1055,581
1228,1056,581
1229,1057,484
1230,1058,484
1231,1059,484
1933,1307,331
751,499,71
825,772,66
1957,1400,141
1191,1037,368
1190,1036,368
1181,1029,505
1291,1088,233
3607,1062,684
1189,1035,368
1107,380,66
1269,380,1064
1220,559,126
710,228,73
3735,751,223
1256,1070,266
1232,1060,70
1207,353,49
1145,994,236
3557,342,76
1215,513,67
1216,513,109
1221,1052,109
695,261,70
1262,236,1064
1144,993,236
746,270,38
488,23,301
1223,392,103
1210,473,74
2547,1660,49
709,228,63
1277,238,66
2673,1369,1368
2674,1369,1367
2546,1660,519
2692,1704,71
2691,1704,445
2704,1711,71
2703,1711,417
697,261,22
1128,300,72
2741,1728,740
3582,300,103
1257,1071,266
1115,975,362
1280,1077,228
1255,1069,266
3663,1448,200
1182,1030,505
1289,1086,262
1184,1032,505
1200,1042,73
1193,1038,459
1121,981,350
2672,1369,16
1658,1206,252
1296,1093,239
1365,612,70
1297,1094,239
1298,1095,239
1299,1096,239
1300,1097,239
1295,1092,239
1332,1128,593
1293,1090,233
1398,565,19
1302,1099,243
1306,1103,247
1307,1104,247
2012,669,690
1353,1151,263
1309,1106,251
1352,1150,263
1312,1109,253
1313,1110,253
1314,1111,253
1315,1112,253
1316,1113,253
1323,1120,255
3639,1932,258
1391,586,70
1310,1107,251
1335,1131,500
1336,1132,500
3463,348,66
1325,1122,255
1427,661,742
1303,1100,243
1305,1102,247
1370,328,76
1327,1124,321
1328,1125,321
1329,1126,321
1330,1127,321
1374,556,63
1334,1130,593
1294,1091,239
1333,1129,593
1337,1133,500
1338,1134,500
1339,1135,501
1340,1136,501
1341,1138,501
1342,1139,571
1343,1140,571
1344,1141,571
1345,1142,449
1346,1143,449
1381,611,70
1348,1145,536
1347,1144,536
2591,1673,299
1350,1148,263
1351,1149,263
1401,393,49
1378,564,19
3608,599,1152
1400,436,21
3526,532,70
1396,454,66
3640,1932,60
3558,249,698
1364,324,60
1363,324,67
2628,1410,282
1424,651,693
1404,358,63
690,247,77
1356,1147,690
1403,605,20
2019,691,690
1320,1117,254
1319,1116,254
1399,561,21
1369,1163,21
1375,620,60
1385,574,63
1397,1172,66
2548,1650,1207
3451,426,20
1318,1115,254
1380,343,64
2626,1410,596
685,253,76
1936,108,419
1373,566,67
1429,1180,730
1360,1157,71
641,615,72
1382,1166,19
1321,1118,254
1434,1183,742
1322,1119,254
1435,1183,739
1389,1170,78
1394,1171,19
1390,461,73
1920,1388,1338
1919,1388,1386
1301,1098,243
1308,1105,251
648,563,126
1428,1180,742
1383,626,71
780,744,245
1958,1401,141
476,72,300
2627,1410,224
1372,331,72
1366,624,70
646,537,22
1379,1165,67
2629,1410,275
2630,1410,542
1359,1156,49
1431,1182,739
1311,1108,253
1376,569,22
1304,1101,243
1377,606,65
1430,1181,1180
1368,1162,19
1349,1146,536
2677,1367,16
2026,860,690
2032,1414,499
1407,554,70
2675,1367,102
1392,418,640
1393,418,31
1388,592,21
1432,1182,730
1433,1182,742
2676,1367,54
2033,1414,1147
2034,1414,802
1386,1168,70
1405,1176,19
1476,429,60
1465,285,64
2631,697,515
1597,1241,138
3789,1973,742
1501,1208,1207
1444,1188,432
1448,590,1178
1563,1226,111
1922,1389,1203
3610,1173,1179
1454,344,66
608,455,70
3559,463,74
1489,388,77
1492,323,77
1575,1229,133
1552,1221,432
1487,594,70
1447,1174,1179
1458,349,70
1457,346,62
3527,407,103
1478,450,1177
1494,342,77
1474,1200,64
1467,357,71
1461,351,60
1473,482,20
3641,1710,690
1497,1182,1185
1446,1189,742
1445,1189,250
1451,309,67
1553,1222,166
1551,1221,166
1605,1245,138
1517,1211,456
1482,1203,20
3479,470,68
1523,94,166
1921,1389,1386
1541,1218,224
1540,1218,166
1539,1217,166
1524,94,290
1564,1227,138
3711,519,1844
1534,1215,432
1533,1215,596
1532,1215,499
1531,1215,362
1530,1215,275
1529,1215,290
1528,1215,166
1527,1215,224
1526,1215,740
1491,402,67
1463,319,73
1453,336,21
1449,591,1178
3585,772,660
1471,1199,20
1496,1185,1182
1556,1224,741
1516,1211,66
1515,1211,224
3666,257,695
1437,1184,742
1684,1272,651
1538,1217,224
1495,1185,250
1443,1188,742
1537,1216,111
1536,1216,704
1535,1216,166
1456,1195,65
1486,356,62
1459,363,79
1480,371,49
1483,237,60
1581,1232,252
1580,1232,249
1450,1175,1177
1452,372,67
956,320,72
1571,1229,111
1589,1236,1206
3609,340,1152
1484,1204,49
2679,1368,102
1604,1244,250
1602,1242,1206
2549,1650,1208
1503,1210,166
1490,383,77
1442,1188,250
1519,1213,224
1520,1213,456
1455,295,67
1502,1209,1207
1593,1239,138
1542,1219,166
1493,267,77
3736,911,348
1500,1187,250
1499,1187,406
1423,651,739
1570,1229,138
1574,1230,133
1573,1230,111
