id,file,width,height,focal_point_key,filter_id,image_id,urls
2840,images/visuelle_zeitgestaltung_bearbe.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,74,
2841,images/BWG_Web_OKW_Grafik_large-04.2e16d0ba.fill-450x360-c80.png,450,360,2e16d0ba,16,747,
2842,images/gamelab.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,14,
2843,images/Architektur-des-Wissens-Karte_.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,48,
2844,images/Gestalten-von-Laboren_RGB.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,45,
2845,images/Mobile_Raeume_web_gross.2e16d0ba.fill-450x360-c80.jpg,405,323,2e16d0ba,16,52,
2846,images/17mystere_Modele_de_la_Lune_en.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,53,
2847,images/MorphologieFormengeschichte_Le.ba473b2a.fill-450x360-c80.jpg,340,271,ba473b2a,16,54,
2848,images/Lautarchiv.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,633,
2849,images/GenderGestaltung_web_gross.2e16d0ba.fill-450x360-c80.jpg,405,323,2e16d0ba,16,43,
2850,images/Piktogramme-Karte_RGB.a6da2504.fill-450x360-c80.jpg,450,360,a6da2504,16,55,
2851,images/2_BWG-LogoDFGHU_rgb_de.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,92,
2852,images/20130917_KOSMOS_2013_008.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,621,
2853,images/20140415_Ringvorlesung_Struktu.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,670,
2854,images/Kindersommeruni_2013_075.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,673,
2855,images/Diversity.2e16d0ba.fill-450x360-c80.png,450,360,2e16d0ba,16,667,
2856,images/2014_Kindersommeruniversitaet_.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,605,
2857,images/CF-maps-blog-1015124.2e16d0ba.fill-450x360-c80.jpg,450,360,2e16d0ba,16,596,
