id,title,file,width,height,created_at,focal_point_x,focal_point_y,focal_point_width,focal_point_height,uploaded_by_user_id,file_size,urls
1032,"Werkstattgespräche des Projekts »Mobile Objekte«",original_images/Mobile_Objekte.jpg,3006,4250,"2016-07-22 14:29:39.559606+02",,,,,6,,
1033,"Muth, Gewalt in Bildern",original_images/Muth_Gewalt_in_Bildern.jpg,464,648,"2016-07-25 11:45:06.238854+02",,,,,13,,
1034,"Klemens Reckfort",original_images/klemens_reckfort_800.jpg,800,808,"2016-07-25 11:51:44.367282+02",,,,,7,,
1035,"Muth u.a., Medien der Geschichte",original_images/Muth_Medien_Geschichte.jpg,450,648,"2016-07-25 12:27:53.133488+02",,,,,13,,
1036,"Cover Souveraenitaetseffekt",original_images/cover.htm.jpeg,200,311,"2016-07-25 12:58:05.93931+02",,,,,15,,
1037,"Medien des Heiligen - Cover",original_images/cover.htm-2.jpeg,200,307,"2016-07-25 13:09:49.830532+02",,,,,15,,
1038,"te Heesen, auf/zu",original_images/te_Heesen_auf_zu.jpg,523,648,"2016-07-25 13:10:23.051842+02",,,,,13,,
1039,"te Heesen, Newspaper clipping",original_images/te_Heesen_Newspaper.jpg,328,500,"2016-07-25 13:23:39.117507+02",,,,,13,,
1040,"te Heesen u.a. (Hg.), Museumskrise",original_images/Te_Heesen_Museumskrise.jpg,2067,2858,"2016-07-25 13:41:29.268288+02",,,,,13,,
813,"Helmholtz Vorlesung Juni",original_images/Plakat_Grebel_A3.jpg,1753,2480,"2016-06-30 10:22:43.462844+02",878,1831,1748,1297,12,625758,
1041,"Vorlesungsverzeichnis Wintersemester 2016/17",original_images/Bildschirmfoto_2016-07-25_um_16.39.08.png,822,675,"2016-07-25 16:41:50.860558+02",,,,,22,,
1060,"Bausch - Helmholtz Vorlesung Januar 2014",original_images/hzk_plakat-welzer.jpg,3683,5153,"2016-07-28 11:09:54.182205+02",,,,,22,,
1061,"Bausch - Helmholtz Vorlesung Februar 2015",original_images/hzk_plakat-guentuerkuen.jpg,3833,5555,"2016-07-28 11:11:17.056366+02",,,,,22,,
1062,"Trabant, Globalesisch, Cover",original_images/Trabant_Globalesisch.jpg,200,318,"2016-07-28 11:11:28.131479+02",,,,,13,,
1043,"Foto Maja Stark",original_images/2013-07_BEW.Stark-4899.jpg,1276,922,"2016-07-26 11:58:01.471458+02",868,407,815,815,13,600578,
1044,"Sieck, Wireless ..., Cover",original_images/sieck_wireless.jpg,400,584,"2016-07-26 12:07:15.565131+02",,,,,13,,
1047,"Sieck, Kultur, Cover",original_images/Sieck_Kultur_Informatik.jpg,400,585,"2016-07-26 12:11:51.361331+02",,,,,13,,
1049,"Sieck, Kultur 2, Cover",original_images/Sieck_Kultur_Vergangenheit.htm.jpg,400,584,"2016-07-26 12:16:04.235656+02",,,,,13,,
1050,"Sieck, Multimediale Systeme, Cover",original_images/Sieck_Multimediale_Systeme.jpg,400,584,"2016-07-26 12:19:58.678661+02",,,,,13,,
1051,"Sieck, Car to car, Cover",original_images/Sieck_car_to_car.jpg,400,584,"2016-07-26 12:28:10.35045+02",,,,,13,,
1052,"Sieck, Radio Engineering, Cover",original_images/Sieck_Radio.jpg,400,584,"2016-07-26 12:32:22.656718+02",,,,,13,,
1064,Trabant/Marienburg_Bildakt,original_images/Trabant_Bildakt_Warburg.jpg,409,648,"2016-07-28 11:16:17.77149+02",,,,,13,,
1046,"Schlögl - Helmholtz Vorlesung Januar 2016",original_images/plakat_SCHLOEGL.jpg,3731,5183,"2016-07-26 12:11:03.140919+02",,,,,22,4391905,
1065,"Oswalt, Atlas, over",original_images/Oswalt_Atlas.jpg,450,648,"2016-07-28 11:59:51.510505+02",,,,,13,,
1045,"Keppler - Helmholtz Vorlesung November 2015",original_images/plakat_KEPPLER.jpg,4240,6082,"2016-07-26 12:10:26.075644+02",,,,,22,7259344,
1042,"Hegemann - Helmholtz Vorlesung Juli 2016",original_images/plakat_HEGEMANN.jpg,1747,2478,"2016-07-26 11:28:18.386311+02",826,1261,1552,937,22,1743393,
1053,"Peter Lee",original_images/Peter_Lee_Website.jpg,200,200,"2016-07-27 10:00:57.786231+02",,,,,7,,
1054,"Macho, Vorbilder, Cover",original_images/Macho_Vorbilder.jpg,373,599,"2016-07-27 11:39:04.276618+02",,,,,13,,
1055,"Gradmann, What the hell, Cover",original_images/Gradmann_What_the_hell.jpg,426,648,"2016-07-27 14:02:47.122292+02",,,,,13,,
